COUNTRY,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALG,0,0,0,0,0,0,0,0,0
ANG,425,481,528,595,592,397,261,218,218
BEN,0,222,232,265,279,292,307,322,337
BOT,0,0,0,0,1660,1712,1775,1830,0
BUK,274,238,237,191,163,152,143,144,143
BUR,142,144,147,235,131,187,299,0,0
CMR,569,600,812,0,0,0,0,0,0
CAR,54,65,71,96,121,82,107,109,0
CHD,71,77,86,119,120,98,87,63,81
CON,194,218,256,226,220,211,149,156,0
DRC,81,186,167,334,354,351,0,0,0
CDI,252,270,289,471,1441,1583,1800,1965,2070
DJI,51,56,60,0,0,0,0,0,0
EGY,14731,9845,11532,9878,9328,5399,8292,11346,13026
ERI ,84,107,129,119,114,142,0,0,0
ESW ,1343,1328,1278,1325,1256,1279,1343,1277,1226
ETH,468,523,597,770,864,871,933,849,812
GAB,0,0,0,0,0,0,0,0,0
GAM,91,106,157,156,449,450,522,552,619
GHA,931,821,903,825,897,0,0,0,0
GUI,12,131,96,33,35,63,99,0,0
GUB,22,37,35,36,44,45,50,55,52
KEN,1609,1823,1711,1350,1181,1340,1449,2025,2049
LIB,0,0,0,0,0,0,0,0,0
LIY,0,0,0,0,0,0,0,0,0
MAD,196,225,256,222,244,293,255,291,384
MAL,746,767,770,819,805,849,837,871,0
MAL,169,160,134,168,159,173,193,203,217
MAU,0,0,0,0,0,0,0,0,0
MAR,956,983,984,1065,1174,1307,1371,1431,1418
MOR,9752,9784,9830,10507,10542,10677,11540,12489,13109
MOZ,1836,2013,2206,1751,1634,1715,1514,2870,2033
NAM,1114,1163,1245,1429,1488,1551,1581,1639,1651
NIG,74,82,94,135,135,152,164,157,192
NIG,6113,3765,4673,4803,6017,5265,0,0,0
RWA,667,908,1061,1220,1298,1377,1570,1711,1634
SAO,8,12.2,0,0,25.6,28.9,28.9,33.4,0
SEN,900,968,962,963,1007,1210,1365,0,0
SIE,39,52,60,44,24,55,51,57,63
SOM,0,0,0,0,0,0,0,0,0
SA,11303,12097,13069,14530,13952,15121,14975,15004,14797
SSUD,0,0,0,0,0,0,0,0,0
SUD,495,536,575,684,741,800,813,836,0
TAN,783,868,1077,1140,1137,1284,1327,1506,1527
TOG,202,300,235,282,273,338,514,573,876
TUN,8640,6038,0,0,0,0,0,0,0
UGA,946,1151,1197,1266,1303,1323,1402,0,0
ZAM,815,920,859,947,932,956,1009,1072,1266
ZIM,2239,2423,1794,1880,2057,2168,2423,2580,2294
